fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,ticker
2025-06-30,USD,294744000000.0,73613000000.0,12005000000.0,12005000000.0,,16561000000.0,221131000000.0,,,,,20654000000.0,,21988000000.0,35066000000.0,9981000000.0,,99674000000.0,37305000000.0,10271000000.0,,,1977000000.0,62369000000.0,20728000000.0,28832000000.0,,,49560000000.0,13011000000.0,2740000000.0,195070000000.0,,106345000000.0,,2570000000.0,META
2025-03-31,USD,280213000000.0,90227000000.0,28750000000.0,28750000000.0,,14514000000.0,189986000000.0,,,,,20654000000.0,,6168000000.0,41480000000.0,5483000000.0,,95184000000.0,33890000000.0,8512000000.0,,,1976000000.0,61294000000.0,20690000000.0,28829000000.0,,,49519000000.0,12411000000.0,2760000000.0,185029000000.0,,101326000000.0,85568000000.0,2590000000.0,META
2024-12-31,USD,276054000000.0,100045000000.0,43889000000.0,43889000000.0,,16994000000.0,176009000000.0,,,915000000.0,915000000.0,20654000000.0,,6070000000.0,33926000000.0,5236000000.0,,93417000000.0,33596000000.0,7687000000.0,,,1942000000.0,59821000000.0,20234000000.0,28826000000.0,,,49060000000.0,13980000000.0,2716000000.0,182637000000.0,,102506000000.0,,2614000000.0,META
2024-09-30,USD,256408000000.0,91067000000.0,43852000000.0,43852000000.0,,14700000000.0,165341000000.0,,,973000000.0,973000000.0,20654000000.0,,6071000000.0,27048000000.0,5467000000.0,,91879000000.0,33330000000.0,7656000000.0,,,2016000000.0,58549000000.0,20224000000.0,28823000000.0,,,49047000000.0,20955000000.0,2347000000.0,164529000000.0,,84972000000.0,80749000000.0,2600000000.0,META
2024-06-30,USD,230238000000.0,76431000000.0,32045000000.0,32045000000.0,,14505000000.0,153807000000.0,,,984000000.0,984000000.0,20654000000.0,,6207000000.0,26035000000.0,3846000000.0,,73475000000.0,27004000000.0,3173000000.0,,,1917000000.0,46471000000.0,19602000000.0,18389000000.0,,,37991000000.0,19670000000.0,2500000000.0,156763000000.0,,81188000000.0,78270000000.0,2610000000.0,META
2024-03-31,USD,222844000000.0,75330000000.0,32307000000.0,32307000000.0,,13430000000.0,147514000000.0,,,829000000.0,829000000.0,20654000000.0,,6218000000.0,25813000000.0,3780000000.0,,73315000000.0,28101000000.0,3785000000.0,,,1676000000.0,45214000000.0,19246000000.0,18387000000.0,,,37633000000.0,17777000000.0,1462000000.0,149529000000.0,,76793000000.0,75391000000.0,2625000000.0,META
2023-12-31,USD,229623000000.0,85365000000.0,41862000000.0,41862000000.0,,16169000000.0,144258000000.0,,,788000000.0,788000000.0,20654000000.0,,6141000000.0,23541000000.0,3793000000.0,,76455000000.0,31960000000.0,4849000000.0,,,1623000000.0,44495000000.0,18849000000.0,18385000000.0,,,37234000000.0,1851000000.0,1370000000.0,153168000000.0,,82070000000.0,73253000000.0,2630000000.0,META
2023-09-30,USD,216274000000.0,78378000000.0,36890000000.0,36890000000.0,,12944000000.0,137896000000.0,104805000000.0,,813000000.0,813000000.0,20668000000.0,,6142000000.0,24233000000.0,4311000000.0,,73401000000.0,30531000000.0,4372000000.0,,,1460000000.0,42870000000.0,17834000000.0,18383000000.0,,,36217000000.0,323000000.0,1281000000.0,142873000000.0,,75205000000.0,,2641000000.0,META
2023-06-30,USD,206688000000.0,69560000000.0,28785000000.0,28785000000.0,,12511000000.0,137128000000.0,100904000000.0,,856000000.0,856000000.0,20659000000.0,,6208000000.0,24661000000.0,3603000000.0,,72655000000.0,29921000000.0,3093000000.0,,,1396000000.0,42734000000.0,17836000000.0,18382000000.0,,,36218000000.0,-1114000000.0,7912000000.0,134033000000.0,,67980000000.0,69159000000.0,2612000000.0,META
2023-03-31,USD,184491000000.0,52483000000.0,11551000000.0,11551000000.0,,11044000000.0,132008000000.0,97055000000.0,,949000000.0,949000000.0,20649000000.0,,6167000000.0,25888000000.0,4000000000.0,,59696000000.0,25381000000.0,3672000000.0,,,1479000000.0,34315000000.0,17650000000.0,9925000000.0,,,27575000000.0,740000000.0,8219000000.0,124795000000.0,,61241000000.0,66535000000.0,2596000000.0,META
2022-12-31,USD,185727000000.0,59549000000.0,14681000000.0,14681000000.0,,13466000000.0,126178000000.0,92191000000.0,,897000000.0,897000000.0,20306000000.0,,6201000000.0,26057000000.0,5345000000.0,,60014000000.0,27026000000.0,4990000000.0,,,1367000000.0,32988000000.0,16668000000.0,9923000000.0,,,26591000000.0,2567000000.0,15301000000.0,125713000000.0,,64799000000.0,64444000000.0,2640000000.0,META
2022-09-30,USD,178894000000.0,58315000000.0,14308000000.0,14308000000.0,,11227000000.0,120579000000.0,87379000000.0,,875000000.0,875000000.0,20268000000.0,,6528000000.0,27468000000.0,5312000000.0,,54800000000.0,22687000000.0,3871000000.0,,,1291000000.0,32113000000.0,15978000000.0,9922000000.0,,,25900000000.0,17011000000.0,7504000000.0,124094000000.0,,67056000000.0,62092000000.0,2687000000.0,META
