fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker
2025-06-30,USD,25561000000.0,,,,,4342000000.0,16538000000,,,,-25958000000.0,-15977000000.0,,,,,1327000000.0,1327000000.0,,,,,-10167000000.0,,,,18337000000,META
2025-03-31,USD,24026000000.0,,,,,3900000000.0,12941000000,,,,-20010000000.0,-19495000000.0,,,,,1329000000.0,1329000000.0,,,,,-12754000000.0,,,,16644000000,META
2024-12-31,USD,27988000000.0,,,,,4460000000.0,14425000000,,,,-21498000000.0,-5465000000.0,,,,,1270000000.0,1270000000.0,,,,,-3857000000.0,,,,20838000000,META
2024-09-30,USD,24724000000.0,,,,,4027000000.0,8258000000,,,,-8620000000.0,-4371000000.0,,,,,1263000000.0,1263000000.0,,,,,-8818000000.0,,,,15688000000,META
2024-06-30,USD,19370000000.0,,,,,3637000000.0,8173000000,,,,-8298000000.0,-11178000000.0,,,,,1266000000.0,1266000000.0,,,,,-6299000000.0,,,,13465000000,META
2024-03-31,USD,19246000000.0,,,,,3374000000.0,6400000000,,,,-8734000000.0,-19767000000.0,,,,,1273000000.0,1273000000.0,,,,,-15008000000.0,,,,12369000000,META
2023-12-31,USD,19404000000.0,,,,,3172000000.0,7665000000,,-1270000000.0,,-6472000000.0,-8401000000.0,,,,,,,,,,,-5942000000.0,,,,14017000000,META
2023-09-30,USD,20402000000.0,,,,,2859000000.0,6543000000,,,,-6077000000.0,-5875000000.0,,,,,0.0,0.0,,,,,-3569000000.0,,,,11583000000,META
2023-06-30,USD,17309000000.0,,,,,2623000000.0,6216000000,-1424000000.0,,,-5203000000.0,5292000000.0,,,,,,,,,,,-898000000.0,,17398000000.0,,7788000000,META
2023-03-31,USD,13998000000.0,,,,,2524000000.0,6842000000,2546000000.0,,,-6743000000.0,-10516000000.0,,,,,0.0,0.0,,,,,-9365000000.0,,-3261000000.0,,5709000000,META
