fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2025-06-30,USD,39025000000,47516000000,8491000000,8491000000,20441000000,2663000000,12942000000,18584000000,,-103000000.0,481000000.0,241000000.0,,,,4342000000.0,20534000000,2197000000,,18337000000,,20534000000,24876000000.0,18337000000,META
2025-03-31,USD,34742000000,42314000000,7572000000,7572000000,17555000000,2280000000,12150000000,17187000000,,595000000.0,658000000.0,240000000.0,,,,3900000000.0,18382000000,1738000000,,16644000000,,18622000000,22522000000.0,16644000000,META
2024-12-31,USD,39546000000,48385000000,8839000000,8839000000,23364000000,762000000,12180000000,16182000000,,573000000.0,731000000.0,251000000.0,,,,4460000000.0,23552000000,2714000000,,20838000000,,23803000000,28263000000.0,20838000000,META
2024-09-30,USD,33214000000,40589000000,7375000000,7375000000,17350000000,1865000000,11177000000,15864000000,,461000000.0,661000000.0,208000000.0,,,,4027000000.0,17822000000,2134000000,,15688000000,,18030000000,22057000000.0,15688000000,META
2024-06-30,USD,31763000000,39071000000,7308000000,7308000000,14847000000,3658000000,10537000000,16916000000,,427000000.0,540000000.0,128000000.0,,,,3637000000.0,15106000000,1641000000,,13465000000,,15234000000,18871000000.0,13465000000,META
2024-03-31,USD,29815000000,36455000000,6640000000,6640000000,13818000000,3455000000,9978000000,15997000000,,513000000.0,585000000.0,127000000.0,,,,3374000000.0,14183000000,1814000000,,12369000000,,14310000000,17684000000.0,12369000000,META
2023-12-31,USD,32416000000,40111000000,7695000000,7695000000,16384000000,2289000000,10517000000,16032000000,,484000000.0,588000000.0,424000000.0,,,,3172000000.0,16808000000,2791000000,,14017000000,,16384000000,19556000000.0,14017000000,META
2023-09-30,USD,27936000000,34146000000,6210000000,6210000000,13748000000,2070000000,9241000000,14188000000,,370000000.0,534000000.0,139000000.0,,,,2859000000.0,14020000000,2437000000,,11583000000,,13748000000,16607000000.0,11583000000,META
2023-06-30,USD,26054000000,31999000000,5945000000,5945000000,9392000000,4164000000,9344000000,16662000000,,-99000000.0,323000000.0,116000000.0,,-99000000.0,,2623000000.0,9293000000,1505000000,,7788000000,,9392000000,12015000000.0,7788000000,META
2023-03-31,USD,22537000000,28645000000,6108000000,6108000000,7227000000,2885000000,9381000000,15310000000,,80000000.0,193000000.0,55000000.0,,80000000.0,,2524000000.0,7307000000,1598000000,,5709000000,,7227000000,9751000000.0,5709000000,META
2022-12-31,USD,23829000000,32165000000,8336000000,8336000000,6399000000,3085000000,9771000000,17430000000,,32000000.0,32000000.0,32000000.0,,-249000000.0,,2376000000.0,6149000000,1497000000,,4653000000,,6399000000,8775000000.0,4652000000,META
2022-09-30,USD,21998000000,27714000000,5716000000,5716000000,5664000000,3384000000,9170000000,16334000000,,-88000000.0,77000000.0,77000000.0,,-88000000.0,,2175000000.0,5576000000,1181000000,,4395000000,,5664000000,7839000000.0,4395000000,META
2022-06-30,USD,23630000000,28822000000,5192000000,5192000000,8358000000,2987000000,8690000000,15272000000,,91000000.0,91000000.0,91000000.0,,-172000000.0,,1979000000.0,8186000000,1499000000,,6687000000,,8358000000,10337000000.0,6687000000,META
2022-03-31,USD,21903000000,27908000000,6005000000,6005000000,8524000000,2360000000,7707000000,13379000000,,384000000.0,384000000.0,76000000.0,,384000000.0,,2156000000.0,8908000000,1443000000,,7465000000,,8524000000,10680000000.0,7465000000,META
2021-12-31,USD,27323000000,33671000000,6348000000,6348000000,12585000000,3305000000,7046000000,14738000000,,117000000.0,117000000.0,102000000.0,,118000000.0,,2014000000.0,12702000000,2417000000,,10285000000,,12585000000,14599000000.0,10285000000,META
2021-09-30,USD,23239000000,29010000000,5771000000,5771000000,10423000000,2946000000,6316000000,12816000000,,120000000.0,120000000.0,120000000.0,,142000000.0,,1995000000.0,10565000000,1371000000,,9194000000,,10423000000,12418000000.0,9194000000,META
2021-06-30,USD,23678000000,29077000000,5399000000,5399000000,12367000000,1956000000,6096000000,11311000000,,146000000.0,121000000.0,121000000.0,,146000000.0,,1985000000.0,12513000000,2119000000,,10394000000,,12367000000,14352000000.0,10394000000,META
2021-03-31,USD,21040000000,26171000000,5131000000,5131000000,11378000000,1622000000,5197000000,9662000000,,125000000.0,118000000.0,118000000.0,,125000000.0,,1972000000.0,11503000000,2006000000,,9497000000,,11378000000,13350000000.0,9497000000,META
2020-12-31,USD,22862000000,28072000000,5210000000,5210000000,12775000000,1599000000,5208000000,10087000000,,280000000.0,136000000.0,136000000.0,,280000000.0,,1863000000.0,13055000000,1836000000,,11220000000,,12775000000,14638000000.0,11219000000,META
2020-09-30,USD,17276000000,21470000000,4194000000,4194000000,8040000000,1790000000,4763000000,9236000000,,146000000.0,146000000.0,146000000.0,,93000000.0,,1698000000.0,8133000000,287000000,,7846000000,,8040000000,9738000000.0,7846000000,META
2020-06-30,USD,14858000000,18687000000,3829000000,3829000000,5963000000,1593000000,4462000000,8895000000,,162000000.0,162000000.0,162000000.0,,168000000.0,,1704000000.0,6131000000,953000000,,5178000000,,5963000000,7667000000.0,5178000000,META
